Hessian unlearning summary across seeds:
  ulia_known_k_overlap: mean=0.4800, variance=0.185600
  ulia_dynamic_precision: mean=0.4800, variance=0.185600
  ulia_dynamic_recall: mean=0.1600, variance=0.006400
  ulia_dynamic_overlap: mean=0.1600, variance=0.006400
  before_exclusive_strength_ratio: mean=0.3028, variance=0.066654
  target_label_feature_coverage: mean=0.2000, variance=0.048000
  clip_concept_coverage: mean=0.1600, variance=0.022400
  clip_concept_precision: mean=0.0467, variance=0.001798
  clip_weighted_coverage: mean=0.1470, variance=0.019897
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.7600, variance=0.054400
  feature_overlap@10: mean=0.7800, variance=0.033600


FL retraining summary across seeds:
Ratio: 0.03
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5341, variance=0.000022
  mia_acc_before: mean=0.6745, variance=0.000021
  mia_acc_after: mean=0.6761, variance=0.000013
  feature_vote_precision: mean=0.0800, variance=0.009600
  feature_vote_recall: mean=0.0800, variance=0.009600
  feature_vote_overlap: mean=0.0800, variance=0.009600
  delta_z_precision: mean=0.0000, variance=0.000000
  delta_z_recall: mean=0.0000, variance=0.000000
  delta_z_overlap: mean=0.0000, variance=0.000000
  confidence_drop_precision: mean=0.0800, variance=0.009600
  confidence_drop_recall: mean=0.0800, variance=0.009600
  confidence_drop_overlap: mean=0.0800, variance=0.009600
  hybrid_precision: mean=0.0400, variance=0.006400
  hybrid_recall: mean=0.0400, variance=0.006400
  hybrid_overlap: mean=0.0400, variance=0.006400
  ulia_known_k_precision: mean=0.0800, variance=0.009600
  ulia_known_k_recall: mean=0.0800, variance=0.009600
  ulia_known_k_overlap: mean=0.0800, variance=0.009600
  ulia_dynamic_precision: mean=0.0800, variance=0.009600
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.5291, variance=0.029643
  target_label_feature_coverage: mean=0.4800, variance=0.009600
  clip_concept_coverage: mean=0.2400, variance=0.054400
  clip_concept_precision: mean=0.0689, variance=0.004168
  clip_weighted_coverage: mean=0.2248, variance=0.047460
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.5200, variance=0.025600
  feature_overlap@10: mean=0.6000, variance=0.020000



FL retraining summary across seeds:
Ratio: 0.04
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.3237, variance=0.065611
  mia_acc_before: mean=0.6695, variance=0.000022
  mia_acc_after: mean=0.6041, variance=0.007247
  feature_vote_precision: mean=0.0000, variance=0.000000
  feature_vote_recall: mean=0.0000, variance=0.000000
  feature_vote_overlap: mean=0.0000, variance=0.000000
  delta_z_precision: mean=0.4000, variance=0.240000
  delta_z_recall: mean=0.4000, variance=0.240000
  delta_z_overlap: mean=0.4000, variance=0.240000
  confidence_drop_precision: mean=0.4000, variance=0.240000
  confidence_drop_recall: mean=0.4000, variance=0.240000
  confidence_drop_overlap: mean=0.4000, variance=0.240000
  hybrid_precision: mean=0.4000, variance=0.240000
  hybrid_recall: mean=0.4000, variance=0.240000
  hybrid_overlap: mean=0.4000, variance=0.240000
  ulia_known_k_precision: mean=0.4800, variance=0.185600
  ulia_known_k_recall: mean=0.4800, variance=0.185600
  ulia_known_k_overlap: mean=0.4800, variance=0.185600
  ulia_dynamic_precision: mean=0.4800, variance=0.185600
  ulia_dynamic_recall: mean=0.1600, variance=0.006400
  ulia_dynamic_overlap: mean=0.1600, variance=0.006400
  before_exclusive_strength_ratio: mean=0.2670, variance=0.060641
  target_label_feature_coverage: mean=0.2400, variance=0.054400
  clip_concept_coverage: mean=0.1200, variance=0.057600
  clip_concept_precision: mean=0.0333, variance=0.004444
  clip_weighted_coverage: mean=0.1086, variance=0.047198
  feature_overlap@1: mean=0.8000, variance=0.160000
  feature_overlap@5: mean=0.6800, variance=0.073600
  feature_overlap@10: mean=0.6800, variance=0.085600




FL retraining summary across seeds:
Ratio: 0.05
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5303, variance=0.000019
  mia_acc_before: mean=0.6750, variance=0.000062
  mia_acc_after: mean=0.6757, variance=0.000041
  feature_vote_precision: mean=0.0800, variance=0.009600
  feature_vote_recall: mean=0.0800, variance=0.009600
  feature_vote_overlap: mean=0.0800, variance=0.009600
  delta_z_precision: mean=0.1200, variance=0.009600
  delta_z_recall: mean=0.1200, variance=0.009600
  delta_z_overlap: mean=0.1200, variance=0.009600
  confidence_drop_precision: mean=0.2400, variance=0.022400
  confidence_drop_recall: mean=0.2400, variance=0.022400
  confidence_drop_overlap: mean=0.2400, variance=0.022400
  hybrid_precision: mean=0.0400, variance=0.006400
  hybrid_recall: mean=0.0400, variance=0.006400
  hybrid_overlap: mean=0.0400, variance=0.006400
  ulia_known_k_precision: mean=0.0800, variance=0.009600
  ulia_known_k_recall: mean=0.0800, variance=0.009600
  ulia_known_k_overlap: mean=0.0800, variance=0.009600
  ulia_dynamic_precision: mean=0.0800, variance=0.009600
  ulia_dynamic_recall: mean=0.0800, variance=0.009600
  ulia_dynamic_overlap: mean=0.0800, variance=0.009600
