

Hessian unlearning summary across seeds:
  mia_acc_before: mean=0.5806, variance=0.000072
  mia_acc_after: mean=0.5778, variance=0.000153
  feature_vote_precision: mean=0.5333, variance=0.012444
  feature_vote_recall: mean=0.4800, variance=0.009600
  feature_vote_overlap: mean=0.4800, variance=0.009600
  delta_z_precision: mean=0.6000, variance=0.016000
  delta_z_recall: mean=0.6000, variance=0.016000
  delta_z_overlap: mean=0.6000, variance=0.016000
  confidence_drop_precision: mean=0.7600, variance=0.038400
  confidence_drop_recall: mean=0.7600, variance=0.038400
  confidence_drop_overlap: mean=0.7600, variance=0.038400
  hybrid_precision: mean=0.6400, variance=0.054400
  hybrid_recall: mean=0.6400, variance=0.054400
  hybrid_overlap: mean=0.6400, variance=0.054400
  ulia_known_k_precision: mean=0.5200, variance=0.009600
  ulia_known_k_recall: mean=0.5200, variance=0.009600
  ulia_known_k_overlap: mean=0.5200, variance=0.009600
  ulia_dynamic_precision: mean=1.0000, variance=0.000000
  ulia_dynamic_recall: mean=0.2800, variance=0.009600
  ulia_dynamic_overlap: mean=0.2800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.5749, variance=0.075415
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8000, variance=0.048000
  clip_concept_precision: mean=0.5622, variance=0.003141
  clip_weighted_coverage: mean=0.7317, variance=0.034646
  feature_overlap@1: mean=0.0000, variance=0.000000
  feature_overlap@5: mean=0.4800, variance=0.009600
  feature_overlap@10: mean=0.6800, variance=0.017600



RFU summary across seeds:
Ratio: 0.02
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8684, variance=0.000003
  mia_acc_before: mean=0.5807, variance=0.000055
  mia_acc_after: mean=0.5856, variance=0.000040
  feature_vote_precision: mean=0.4400, variance=0.006400
  feature_vote_recall: mean=0.4400, variance=0.006400
  feature_vote_overlap: mean=0.4400, variance=0.006400
  delta_z_precision: mean=0.6800, variance=0.025600
  delta_z_recall: mean=0.6800, variance=0.025600
  delta_z_overlap: mean=0.6800, variance=0.025600
  confidence_drop_precision: mean=0.8000, variance=0.016000
  confidence_drop_recall: mean=0.8000, variance=0.016000
  confidence_drop_overlap: mean=0.8000, variance=0.016000
  hybrid_precision: mean=0.6800, variance=0.041600
  hybrid_recall: mean=0.6800, variance=0.041600
